"id","participant","classtype","subject","trials"
"1","e1fcaefa-9777-4243-8c14-24752005611d","DemoExperiment","{'feedback': 'no', 'age': '18', 'sex': 'female', 'engagement': '10', 'difficulty': '10', 'learningTaskId': 'learn02', 'date': '2019_11_20', 'time': '24_42_45', 'instructions_duration': 12856, 'task_duration': 201076}","{'trial': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15], 'selection': ['rc', 'rd', 'rd', 'rd', 'rc', 'rd', 'rd', 'rs', 'rd', 'rc', 'rd', 'rd', 'rs', 'rd', 'bs'], 'ts': [1574206708603, 1574206715196, 1574206720710, 1574206829466, 1574206835178, 1574206841839, 1574206847552, 1574206853028, 1574206859077, 1574206864986, 1574206870482, 1574206876735, 1574206882206, 1574206887863, 1574206894034], 'clicks': [[{'stone': 'cell0000', 'timestamp': 1574206708603}], [{'stone': 'cell0200', 'timestamp': 1574206715196}], [{'stone': 'cell0200', 'timestamp': 1574206720710}], [{'stone': 'cell0200', 'timestamp': 1574206829466}], [{'stone': 'cell0000', 'timestamp': 1574206835178}], [{'stone': 'cell0200', 'timestamp': 1574206841839}], [{'stone': 'cell0200', 'timestamp': 1574206847552}], [{'stone': 'cell0100', 'timestamp': 1574206853028}], [{'stone': 'cell0200', 'timestamp': 1574206859077}], [{'stone': 'cell0000', 'timestamp': 1574206864986}], [{'stone': 'cell0200', 'timestamp': 1574206870482}], [{'stone': 'cell0200', 'timestamp': 1574206876735}], [{'stone': 'cell0100', 'timestamp': 1574206882206}], [{'stone': 'cell0200', 'timestamp': 1574206887863}], [{'stone': 'cell0102', 'timestamp': 1574206894034}]]}"
"2","42d08d0b-6c78-4c76-9510-963a489fc8d9","DemoExperiment","{'feedback': 'bonan testing', 'age': '18', 'sex': 'female', 'engagement': '10', 'difficulty': '10', 'learningTaskId': 'learn05', 'token': '6C0PVPKB', 'date': '2019_11_21', 'time': '24_03_45', 'instructions_duration': 8393, 'task_duration': 95132}","{'trial': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15], 'agent': ['yd', 'yd', 'yd', 'rd', 'rd', 'rd', 'rd', 'yc', 'yc', 'yc', 'yc', 'rc', 'rc', 'rc', 'rc'], 'recipient': ['rs', 'bc', 'rc', 'bs', 'rs', 'bc', 'rc', 'bs', 'rs', 'bc', 'rc', 'bs', 'rs', 'bc', 'rc'], 'selection': ['yd', 'rd', 'rd', 'rd', 'rd', 'rc', 'rd', 'rc', 'rd', 'rd', 'rc', 'rc', 'yd', 'rd', 'rd'], 'ts': [1574290876956, 1574290882230, 1574290887204, 1574290892351, 1574290897943, 1574290903093, 1574290908558, 1574290913987, 1574290919587, 1574290925398, 1574290930411, 1574290935698, 1574290941411, 1574290947328, 1574290952174], 'clicks': [[{'stone': 'yd', 'timestamp': 1574290876956}], [{'stone': 'rd', 'timestamp': 1574290882230}], [{'stone': 'rd', 'timestamp': 1574290887204}], [{'stone': 'rd', 'timestamp': 1574290892351}], [{'stone': 'rd', 'timestamp': 1574290897943}], [{'stone': 'rc', 'timestamp': 1574290903093}], [{'stone': 'rd', 'timestamp': 1574290908558}], [{'stone': 'rc', 'timestamp': 1574290913987}], [{'stone': 'rd', 'timestamp': 1574290919587}], [{'stone': 'rd', 'timestamp': 1574290925398}], [{'stone': 'rc', 'timestamp': 1574290930411}], [{'stone': 'rc', 'timestamp': 1574290935698}], [{'stone': 'yd', 'timestamp': 1574290941411}], [{'stone': 'rd', 'timestamp': 1574290947328}], [{'stone': 'rd', 'timestamp': 1574290952174}]]}"
"3","df885342-4bf9-4dce-b1b0-937575cab92f","DemoExperiment","{'feedback': 'Bonan testing', 'age': '18', 'sex': 'female', 'engagement': '10', 'difficulty': '10', 'learningTaskId': 'learn05', 'token': '4W5E1D9H', 'date': '2019_11_22', 'time': '12_27_59', 'instructions_duration': 12406, 'task_duration': 105466}","{'trial': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15], 'agent': ['yd', 'yd', 'yd', 'yc', 'yc', 'yc', 'yc', 'rd', 'rd', 'rd', 'rd', 'rc', 'rc', 'rc', 'rc'], 'recipient': ['bc', 'rs', 'rc', 'bs', 'bc', 'rs', 'rc', 'bs', 'bc', 'rs', 'rc', 'bs', 'bc', 'rs', 'rc'], 'selection': ['yd', 'yd', 'yd', 'yc', 'yc', 'yc', 'yc', 'rd', 'rd', 'rd', 'rd', 'rc', 'rc', 'rc', 'rc'], 'ts': [1574335518987, 1574335524705, 1574335530606, 1574335539687, 1574335545688, 1574335551454, 1574335557964, 1574335564305, 1574335569953, 1574335577434, 1574335583057, 1574335588622, 1574335594444, 1574335599660, 1574335604929], 'clicks': [[{'stone': 'yd', 'timestamp': 1574335518987}], [{'stone': 'yd', 'timestamp': 1574335524705}], [{'stone': 'yd', 'timestamp': 1574335530606}], [{'stone': 'yc', 'timestamp': 1574335539687}], [{'stone': 'yc', 'timestamp': 1574335545688}], [{'stone': 'yc', 'timestamp': 1574335551454}], [{'stone': 'yc', 'timestamp': 1574335557964}], [{'stone': 'rd', 'timestamp': 1574335564305}], [{'stone': 'rd', 'timestamp': 1574335569953}], [{'stone': 'rd', 'timestamp': 1574335577434}], [{'stone': 'rd', 'timestamp': 1574335583057}], [{'stone': 'rc', 'timestamp': 1574335588622}], [{'stone': 'rc', 'timestamp': 1574335594444}], [{'stone': 'rc', 'timestamp': 1574335599660}], [{'stone': 'rc', 'timestamp': 1574335604929}]]}"
"4","4448b553-06e8-4c14-bc94-da82accdf438","DemoExperiment","{'feedback': 'bonan testing', 'age': '18', 'sex': 'female', 'engagement': '10', 'difficulty': '9', 'learningTaskId': 'learn05', 'token': '561QZPMM', 'date': '2019_11_22', 'time': '13_16_49', 'instructions_duration': 7662, 'task_duration': 91844}","{'trial': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15], 'agent': ['yd', 'yd', 'yd', 'rd', 'rd', 'rd', 'rd', 'yc', 'yc', 'yc', 'yc', 'rc', 'rc', 'rc', 'rc'], 'recipient': ['rs', 'bc', 'rc', 'bs', 'rs', 'bc', 'rc', 'bs', 'rs', 'bc', 'rc', 'bs', 'rs', 'bc', 'rc'], 'selection': ['yd', 'yd', 'yd', 'yd', 'yc', 'yd', 'yd', 'yc', 'yc', 'yc', 'yd', 'yc', 'yd', 'bd', 'bd'], 'ts': [1574338463365, 1574338469131, 1574338476022, 1574338481253, 1574338486252, 1574338491215, 1574338496125, 1574338501632, 1574338506533, 1574338511522, 1574338516454, 1574338521455, 1574338526351, 1574338532295, 1574338537374], 'clicks': [[{'stone': 'rd', 'timestamp': 1574338462631}, {'stone': 'yd', 'timestamp': 1574338463365}], [{'stone': 'yd', 'timestamp': 1574338469131}], [{'stone': 'yd', 'timestamp': 1574338476022}], [{'stone': 'yd', 'timestamp': 1574338481253}], [{'stone': 'yc', 'timestamp': 1574338486252}], [{'stone': 'yd', 'timestamp': 1574338491215}], [{'stone': 'yd', 'timestamp': 1574338496125}], [{'stone': 'yc', 'timestamp': 1574338501632}], [{'stone': 'yc', 'timestamp': 1574338506533}], [{'stone': 'yc', 'timestamp': 1574338511522}], [{'stone': 'yd', 'timestamp': 1574338516453}], [{'stone': 'yc', 'timestamp': 1574338521455}], [{'stone': 'yd', 'timestamp': 1574338526351}], [{'stone': 'bd', 'timestamp': 1574338532295}], [{'stone': 'bd', 'timestamp': 1574338537374}]]}"
"5","c4ef2acc-b475-4598-b9ec-2341224efebe","DemoExperiment","{'feedback': 'bonan testing in chrome', 'age': '18', 'sex': 'female', 'engagement': '10', 'difficulty': '10', 'learningTaskId': 'learn02', 'token': 'H0YS1BGY', 'date': '2019_11_22', 'time': '13_18_54', 'instructions_duration': 8013, 'task_duration': 91518}","{'trial': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15], 'agent': ['yc', 'yc', 'yc', 'bc', 'bc', 'bc', 'bc', 'ys', 'ys', 'ys', 'ys', 'bs', 'bs', 'bs', 'bs'], 'recipient': ['bd', 'rs', 'bs', 'rd', 'bd', 'rs', 'bs', 'rd', 'bd', 'rs', 'bs', 'rd', 'bd', 'rs', 'bs'], 'selection': ['rs', 'rs', 'rs', 'rs', 'rs', 'rd', 'rc', 'rs', 'rs', 'rd', 'rd', 'rs', 'rd', 'rc', 'bs'], 'ts': [1574338588359, 1574338593746, 1574338598717, 1574338603507, 1574338608225, 1574338613296, 1574338618069, 1574338623118, 1574338628638, 1574338633828, 1574338639242, 1574338644753, 1574338649520, 1574338654510, 1574338660765], 'clicks': [[{'stone': 'rs', 'timestamp': 1574338588359}], [{'stone': 'rs', 'timestamp': 1574338593746}], [{'stone': 'rs', 'timestamp': 1574338598717}], [{'stone': 'rs', 'timestamp': 1574338603507}], [{'stone': 'rs', 'timestamp': 1574338608225}], [{'stone': 'rd', 'timestamp': 1574338613296}], [{'stone': 'rc', 'timestamp': 1574338618069}], [{'stone': 'rs', 'timestamp': 1574338623118}], [{'stone': 'rs', 'timestamp': 1574338628638}], [{'stone': 'rd', 'timestamp': 1574338633828}], [{'stone': 'rd', 'timestamp': 1574338639242}], [{'stone': 'rs', 'timestamp': 1574338644753}], [{'stone': 'rd', 'timestamp': 1574338649520}], [{'stone': 'rc', 'timestamp': 1574338654510}], [{'stone': 'bs', 'timestamp': 1574338660765}]]}"
"6","456b9228-81e2-4657-a66b-3f4a0ca8f0b1","DemoExperiment","{'feedback': 'Only a diamond magic stone is demonstrated, so it is unclear whether the circular magic stone works in the same way, e.g., would it also turn a normal stone or not. ', 'age': '39', 'sex': 'female', 'engagement': '8', 'difficulty': '3', 'learningTaskId': 'learn05', 'token': 'UM3NNGMD', 'date': '2019_11_22', 'time': '13_31_02', 'instructions_duration': 165078, 'task_duration': 436793}","{'trial': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15], 'agent': ['yd', 'yd', 'yd', 'yc', 'yc', 'yc', 'yc', 'rd', 'rd', 'rd', 'rd', 'rc', 'rc', 'rc', 'rc'], 'recipient': ['bc', 'rs', 'rc', 'bs', 'bc', 'rs', 'rc', 'bs', 'bc', 'rs', 'rc', 'bs', 'bc', 'rs', 'rc'], 'selection': ['yd', 'yd', 'yc', 'yd', 'yc', 'ys', 'yc', 'rd', 'rc', 'rd', 'rc', 'rs', 'rc', 'rs', 'rc'], 'ts': [1574339015526, 1574339040275, 1574339064859, 1574339078015, 1574339111707, 1574339135539, 1574339158706, 1574339171556, 1574339184877, 1574339194661, 1574339211198, 1574339230025, 1574339249881, 1574339260133, 1574339272573], 'clicks': [[{'stone': 'yd', 'timestamp': 1574339015526}], [{'stone': 'yd', 'timestamp': 1574339040275}], [{'stone': 'yc', 'timestamp': 1574339064859}], [{'stone': 'yd', 'timestamp': 1574339078015}], [{'stone': 'yc', 'timestamp': 1574339111707}], [{'stone': 'ys', 'timestamp': 1574339135539}], [{'stone': 'yc', 'timestamp': 1574339158706}], [{'stone': 'rd', 'timestamp': 1574339171556}], [{'stone': 'rc', 'timestamp': 1574339184877}], [{'stone': 'rd', 'timestamp': 1574339194661}], [{'stone': 'rc', 'timestamp': 1574339211197}], [{'stone': 'rs', 'timestamp': 1574339230025}], [{'stone': 'rs', 'timestamp': 1574339243279}, {'stone': 'rc', 'timestamp': 1574339249881}], [{'stone': 'rs', 'timestamp': 1574339260133}], [{'stone': 'rc', 'timestamp': 1574339272573}]]}"
"7","779ac97b-09b8-4e2a-9498-43732f6375b5","DemoExperiment","{'feedback': ""Let's talk in person"", 'age': '24', 'sex': 'male', 'engagement': '8', 'difficulty': '2', 'learningTaskId': 'learn02', 'token': 'RZWVQDKX', 'date': '2019_11_22', 'time': '14_45_09', 'instructions_duration': 257350, 'task_duration': 404523}","{'trial': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15], 'agent': ['bs', 'bs', 'bs', 'ys', 'ys', 'ys', 'ys', 'bd', 'bd', 'bd', 'bd', 'yd', 'yd', 'yd', 'yd'], 'recipient': ['yc', 'rd', 'yd', 'rc', 'yc', 'rd', 'yd', 'rc', 'yc', 'rd', 'yd', 'rc', 'yc', 'rd', 'yd'], 'selection': ['bc', 'bd', 'bd', 'yc', 'yc', 'yd', 'yd', 'bc', 'bc', 'bd', 'bd', 'yc', 'yc', 'yd', 'yd'], 'ts': [1574343506556, 1574343554964, 1574343579499, 1574343593323, 1574343613083, 1574343638858, 1574343645882, 1574343663618, 1574343671090, 1574343682706, 1574343698969, 1574343708265, 1574343720225, 1574343727001, 1574343733905], 'clicks': [[{'stone': 'bc', 'timestamp': 1574343506556}], [{'stone': 'bd', 'timestamp': 1574343554964}], [{'stone': 'bd', 'timestamp': 1574343579499}], [{'stone': 'yc', 'timestamp': 1574343593323}], [{'stone': 'yc', 'timestamp': 1574343613083}], [{'stone': 'yd', 'timestamp': 1574343638858}], [{'stone': 'yd', 'timestamp': 1574343645882}], [{'stone': 'bc', 'timestamp': 1574343663618}], [{'stone': 'bc', 'timestamp': 1574343671090}], [{'stone': 'bd', 'timestamp': 1574343682706}], [{'stone': 'bd', 'timestamp': 1574343698969}], [{'stone': 'yc', 'timestamp': 1574343708265}], [{'stone': 'yc', 'timestamp': 1574343720225}], [{'stone': 'yd', 'timestamp': 1574343727001}], [{'stone': 'yd', 'timestamp': 1574343733905}]]}"
"8","5ee7c844-e504-4b2b-9612-3cfbd992641a","DemoExperiment","{'feedback': ' ☆彡', 'age': '27', 'sex': 'male', 'engagement': '5', 'difficulty': '5', 'learningTaskId': 'learn06', 'token': '05EWURUF', 'date': '2019_11_22', 'time': '17_42_06', 'instructions_duration': 67862, 'task_duration': 451633}","{'trial': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15], 'agent': ['bs', 'bs', 'bs', 'rs', 'rs', 'rs', 'rs', 'bc', 'bc', 'bc', 'bc', 'rc', 'rc', 'rc', 'rc'], 'recipient': ['rd', 'yc', 'rc', 'yd', 'rd', 'yc', 'rc', 'yd', 'rd', 'yc', 'rc', 'yd', 'rd', 'yc', 'rc'], 'selection': ['yc', 'rd', 'yd', 'bc', 'rc', 'bd', 'rd', 'rs', 'ys', 'rc', 'yc', 'bs', 'rs', 'bc', 'rc'], 'ts': [1574350502818, 1574350530449, 1574350547849, 1574350561432, 1574350582841, 1574350651649, 1574350660377, 1574350684689, 1574350701689, 1574350712649, 1574350722177, 1574350748113, 1574350759385, 1574350771785, 1574350782769], 'clicks': [[{'stone': 'yc', 'timestamp': 1574350502818}], [{'stone': 'rd', 'timestamp': 1574350530449}], [{'stone': 'yd', 'timestamp': 1574350547849}], [{'stone': 'bc', 'timestamp': 1574350561432}], [{'stone': 'rc', 'timestamp': 1574350582841}], [{'stone': 'bd', 'timestamp': 1574350651649}], [{'stone': 'rd', 'timestamp': 1574350660377}], [{'stone': 'rs', 'timestamp': 1574350684689}], [{'stone': 'ys', 'timestamp': 1574350701689}], [{'stone': 'rc', 'timestamp': 1574350712649}], [{'stone': 'yc', 'timestamp': 1574350722177}], [{'stone': 'bs', 'timestamp': 1574350748113}], [{'stone': 'rs', 'timestamp': 1574350759385}], [{'stone': 'bc', 'timestamp': 1574350771785}], [{'stone': 'rc', 'timestamp': 1574350782769}]]}"
"9","c034e96e-28cf-408b-8bed-8ba357f40040","DemoExperiment","{'feedback': 'The example playing again and again made me doubting myself...', 'age': '26', 'sex': 'female', 'engagement': '8', 'difficulty': '5', 'learningTaskId': 'learn01', 'token': 'D6M1F7ZY', 'date': '2019_11_22', 'time': '13_28_40', 'instructions_duration': 184785, 'task_duration': 367515}","{'trial': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15], 'agent': ['rd', 'rd', 'rd', 'rs', 'rs', 'rs', 'rs', 'bd', 'bd', 'bd', 'bd', 'bs', 'bs', 'bs', 'bs'], 'recipient': ['ys', 'bc', 'bs', 'yc', 'ys', 'bc', 'bs', 'yc', 'ys', 'bc', 'bs', 'yc', 'ys', 'bc', 'bs'], 'selection': ['yd', 'bd', 'bd', 'ys', 'ys', 'bs', 'bs', 'yd', 'yd', 'bd', 'bd', 'ys', 'ys', 'bs', 'bs'], 'ts': [1574356940268, 1574356970927, 1574357007108, 1574357023043, 1574357044342, 1574357059422, 1574357068497, 1574357081763, 1574357094088, 1574357102224, 1574357110073, 1574357117783, 1574357123570, 1574357130196, 1574357138956], 'clicks': [[{'stone': 'yd', 'timestamp': 1574356940268}], [{'stone': 'bd', 'timestamp': 1574356970927}], [{'stone': 'bd', 'timestamp': 1574357007108}], [{'stone': 'yd', 'timestamp': 1574357014310}, {'stone': 'ys', 'timestamp': 1574357023043}], [{'stone': 'ys', 'timestamp': 1574357044342}], [{'stone': 'bs', 'timestamp': 1574357059422}], [{'stone': 'bs', 'timestamp': 1574357068497}], [{'stone': 'yd', 'timestamp': 1574357081763}], [{'stone': 'yd', 'timestamp': 1574357094088}], [{'stone': 'bd', 'timestamp': 1574357102224}], [{'stone': 'bd', 'timestamp': 1574357110073}], [{'stone': 'ys', 'timestamp': 1574357117783}], [{'stone': 'ys', 'timestamp': 1574357123570}], [{'stone': 'bs', 'timestamp': 1574357130196}], [{'stone': 'bs', 'timestamp': 1574357138956}]]}"
"10","d41bc48b-2037-438e-b872-25b636df27cf","DemoExperiment","{'feedback': 'this is tia', 'age': '23', 'sex': 'female', 'engagement': '6', 'difficulty': '4', 'learningTaskId': 'learn01', 'token': 'G7J4XIFC', 'date': '2019_11_22', 'time': '19_59_44', 'instructions_duration': 12802, 'task_duration': 186946}","{'trial': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15], 'agent': ['rd', 'rd', 'rd', 'bd', 'bd', 'bd', 'bd', 'rs', 'rs', 'rs', 'rs', 'bs', 'bs', 'bs', 'bs'], 'recipient': ['bc', 'ys', 'bs', 'yc', 'bc', 'ys', 'bs', 'yc', 'bc', 'ys', 'bs', 'yc', 'bc', 'ys', 'bs'], 'selection': ['bd', 'yd', 'bd', 'yd', 'bd', 'yd', 'bd', 'ys', 'bs', 'ys', 'bs', 'ys', 'bs', 'ys', 'bs'], 'ts': [1574362555379, 1574362564022, 1574362578163, 1574362585616, 1574362593069, 1574362601155, 1574362609879, 1574362619559, 1574362628845, 1574362636388, 1574362652036, 1574362658581, 1574362665897, 1574362682703, 1574362697716], 'clicks': [[{'stone': 'bd', 'timestamp': 1574362555379}], [{'stone': 'yd', 'timestamp': 1574362564022}], [{'stone': 'bd', 'timestamp': 1574362578163}], [{'stone': 'yd', 'timestamp': 1574362585616}], [{'stone': 'bd', 'timestamp': 1574362593069}], [{'stone': 'yd', 'timestamp': 1574362601155}], [{'stone': 'bd', 'timestamp': 1574362609646}, {'stone': 'bd', 'timestamp': 1574362609879}], [{'stone': 'yd', 'timestamp': 1574362618948}, {'stone': 'ys', 'timestamp': 1574362619559}], [{'stone': 'bs', 'timestamp': 1574362628845}], [{'stone': 'ys', 'timestamp': 1574362636388}], [{'stone': 'bd', 'timestamp': 1574362650589}, {'stone': 'bs', 'timestamp': 1574362652036}], [{'stone': 'ys', 'timestamp': 1574362658581}], [{'stone': 'bs', 'timestamp': 1574362665897}], [{'stone': 'ys', 'timestamp': 1574362682703}], [{'stone': 'bs', 'timestamp': 1574362697716}]]}"
