"","ix","learningTaskId","learn_agent","learn_recipient","learn_rule","guess","id"
"1",20,"learn01","rs","yc","-2s","Magic stones only change the shape of normal stones to their shapes.","9fc85bff-ad6a-4ee5-a055-a6c6433a1e8c"
"2",44,"learn01","rs","yc","-2s","Seems like the the magic stone changes the shape of the other stone, but not the color it already is.","f437a924-c472-4b14-b72c-c3c18b972405"
"3",51,"learn01","rs","yc","-2s","It changes into the shape on the left while retaining color on right","b3a5f136-d69a-4009-8543-5b5613899287"
"4",52,"learn01","rs","yc","-2s","the stone that is changed will end up having a similar shape as the magic stone but it's color won't change.","a538508a-f6f4-4393-b692-8b420d76f669"
"5",25,"learn02","yd","rs","-2c","The magic ones change the shape of the normal ones","f2141e70-6a79-4fbd-925c-02ce78cd7b51"
"6",30,"learn02","yd","rs","-2c","I still don't have much of a clue. I thought at first it might simply switch from circle to square then back to circle, but that left out the possibility of diamond...then I thought there might be an order (if at first the normal stone is a square, then the diamond magic stone changes it to a circle, and if the normal one's a circle, it becomes a diamond, so it would be square -> circle -> diamond)Finally, I thought perhaps it would change into the shape that's not represented in the original matching (so a magic diamond would turn a square to a circle, a magic circle would turn a diamond to a square, etc) but that wouldn't work if you had a magic circle and a magic circle, so that was out. The only thing I felt was right was that the color of the original normal stone didn't change when it was transmuted. Other than that, I'm almost as clueless as when I started!","5392e544-a1fc-4740-97c7-61343d418cde"
"7",42,"learn02","yd","rs","-2c","It just change it's shape from circle,square and hexagon","b0364f9d-0522-49a8-b106-329db2e2941c"
"8",45,"learn02","yd","rs","-2c","The magic will toggle the other shape back and forth between two states.","36d78432-b1a0-4d06-bfc0-4b847acc48f6"
"9",46,"learn02","yd","rs","-2c","The diamond rounds the corners of the regular stones, and it has the opposite effect on circles. Others turn the stones into squares/diamonds. I am only sure about the first part since I was only shown that effect.","0fe5be52-19eb-4fef-8823-a4a1606ad85c"
"10",21,"learn03","bs","rd","-2b","Whatever the color in the magic stone will turn a normal stone the same color as the magic stone.","87547a1d-a366-4b40-879d-0c422955cf45"
"11",22,"learn03","bs","rd","-2b","The magic stone will make the other stone the same color as it is but keep the same shape.","ab8ad409-4321-4408-afcd-ec9d0da48bee"
"12",28,"learn03","bs","rd","-2b","The magic stone changes the color of the object it comes in contact with the same color as the magic stone.","c9b8af07-9425-4c97-927c-eeaeb30fcbb3"
"13",29,"learn03","bs","rd","-2b","Regardless of the magic stone shape, the color of the magic stone once it touches a stone will turn that stone the same color as it is.","e037758e-a523-4d68-935c-c9e83ed83e33"
"14",32,"learn03","bs","rd","-2b","Its about changing the color of the object if the magic shape hits another","c3022930-8e65-471f-bd3d-6c3dbef7ac23"
"15",33,"learn03","bs","rd","-2b","Magic Stones Can set the color ","f8d00cff-805a-48ab-9ba0-8eaa78d7c90f"
"16",14,"learn04","rc","bs","-2y","Magic shapes change the color to the one not used unless they are the same color, then they stay the same.","004fb063-c078-496b-8722-cdc9b33dd6f3"
"17",15,"learn04","rc","bs","-2y","WHEN THE MAGIC STONE HITS IT TURNS NORMAL STONE YELLOW","b2d36e0b-3c11-43b1-a460-2cc5e4f26fa1"
"18",31,"learn04","rc","bs","-2y","color will change ","801668f9-7f4f-47c9-b29e-5f342f3684f6"
"19",36,"learn04","rc","bs","-2y","It always changes from blue to yellow and vice versa","b1418206-b5cb-44fa-8afb-c1947aa5651b"
"20",38,"learn04","rc","bs","-2y","That the magic changes the color, but not the shape.","3a3c9e7f-f782-4958-8691-4f73398ab4bf"
"21",39,"learn04","rc","bs","-2y","The color changes but not the shape as long as the two stones that collide are the same shape.","0da454c3-c93d-40c0-8651-c5e50f771dad"
"22",17,"learn05","yd","bs","-2y, -2c","I think the final normal shape color is same as magic shape color","6603e0e2-57f0-4029-8c95-930a4c061614"
"23",18,"learn05","yd","bs","-2y, -2c","It changes it to the same color opposite shape?","44dba40d-7bf6-4d81-921e-8e3c6bbbe8d1"
"24",24,"learn05","yd","bs","-2y, -2c","when a magic stone with the border hits the other colored shape, it turns it into a circle of that color that hit into it","8e093c7d-071f-4783-b066-f30bd3ffcbe1"
"25",26,"learn05","yd","bs","-2y, -2c","That a magic stone changes the color and shape of another stone","84d56a1c-9ec8-482f-854c-0bf6a492f84f"
"26",35,"learn05","yd","bs","-2y, -2c","I think when a round one touches another tile then it turns square.","b3581e74-6363-4628-baf2-0d4d386a7f29"
"27",40,"learn05","yd","bs","-2y, -2c","It changes the shape and color when magic shape hits normal shape","7a1ef267-7c6e-4f4c-8b31-86a18ca3a526"
"28",43,"learn05","yd","bs","-2y, -2c","History. The first Magic core set, retroactively labelled Alpha, was created by Dr. Richard Garfield, bought by Wizards of the Coast, and released in August 1993. ... Richard chose “The Gathering” as a sub name signifying the beginning, as the plan was to keep changing the sub names.Sep 8, 2019
","e3735404-332e-4209-b9aa-aa674454aa43"
"29",16,"learn06","bs","yc","-2b, -2s","Changing the normal stone to a like color and shape stone","c4cf6142-eff4-4d7d-9e46-685974ffe7b1"
"30",19,"learn06","bs","yc","-2b, -2s","No matter what shape and color the item is, when a magic stone touches another stone it makes it the same color and shape as it is.","a9dbc571-e5d4-4e92-86ad-b84dc2b196c3"
"31",23,"learn06","bs","yc","-2b, -2s","When the magic stone touches the other one, the other one is transformed to the same shape and color as the magic stone.","c148d988-2b0c-4baf-946f-23359e42646a"
"32",27,"learn06","bs","yc","-2b, -2s"," A magic stone is indicated by having a border.","ec49ed9d-db78-45cc-ac6a-d622683c4268"
"33",34,"learn06","bs","yc","-2b, -2s","depends on the color","11eb11e9-a207-41d4-a648-30c005f21f88"
