"","ix","learningTaskId","learn_agent","learn_recipient","trial","agent","recipient","selection"
"1",14,"learn04","rc","bs",1,"rc","ys","rs"
"2",14,"learn04","rc","bs",2,"rc","bd","rd"
"3",14,"learn04","rc","bs",3,"rc","yd","bd"
"4",14,"learn04","rc","bs",4,"yc","bs","rs"
"5",14,"learn04","rc","bs",5,"yc","ys","ys"
"6",14,"learn04","rc","bs",6,"yc","bd","rd"
"7",14,"learn04","rc","bs",7,"yc","yd","yd"
"8",14,"learn04","rc","bs",8,"rd","bs","ys"
"9",14,"learn04","rc","bs",9,"rd","ys","bc"
"10",14,"learn04","rc","bs",10,"rd","bd","yd"
"11",14,"learn04","rc","bs",11,"rd","yd","bd"
"12",14,"learn04","rc","bs",12,"yd","bs","rs"
"13",14,"learn04","rc","bs",13,"yd","ys","ys"
"14",14,"learn04","rc","bs",14,"yd","bd","rd"
"15",14,"learn04","rc","bs",15,"yd","yd","yd"
"16",15,"learn04","rc","bs",1,"rc","ys","ys"
"17",15,"learn04","rc","bs",2,"rc","bd","ys"
"18",15,"learn04","rc","bs",3,"rc","yd","ys"
"19",15,"learn04","rc","bs",4,"yc","bs","ys"
"20",15,"learn04","rc","bs",5,"yc","ys","rs"
"21",15,"learn04","rc","bs",6,"yc","bd","ys"
"22",15,"learn04","rc","bs",7,"yc","yd","rs"
"23",15,"learn04","rc","bs",8,"rd","bs","ys"
"24",15,"learn04","rc","bs",9,"rd","ys","bs"
"25",15,"learn04","rc","bs",10,"rd","bd","ys"
"26",15,"learn04","rc","bs",11,"rd","yd","bd"
"27",15,"learn04","rc","bs",12,"yd","bs","ys"
"28",15,"learn04","rc","bs",13,"yd","ys","bs"
"29",15,"learn04","rc","bs",14,"yd","bd","yd"
"30",15,"learn04","rc","bs",15,"yd","yd","rd"
"31",16,"learn06","bs","yc",1,"bs","yd","bs"
"32",16,"learn06","bs","yc",2,"bs","rc","bs"
"33",16,"learn06","bs","yc",3,"bs","rd","bs"
"34",16,"learn06","bs","yc",4,"bd","yc","bs"
"35",16,"learn06","bs","yc",5,"bd","yd","bs"
"36",16,"learn06","bs","yc",6,"bd","rc","bs"
"37",16,"learn06","bs","yc",7,"bd","rd","bs"
"38",16,"learn06","bs","yc",8,"rs","yc","rs"
"39",16,"learn06","bs","yc",9,"rs","yd","rs"
"40",16,"learn06","bs","yc",10,"rs","rc","rs"
"41",16,"learn06","bs","yc",11,"rs","rd","rs"
"42",16,"learn06","bs","yc",12,"rd","yc","rd"
"43",16,"learn06","bs","yc",13,"rd","yd","rd"
"44",16,"learn06","bs","yc",14,"rd","rc","rd"
"45",16,"learn06","bs","yc",15,"rd","rd","rd"
"46",17,"learn05","yd","bs",1,"yd","bc","bs"
"47",17,"learn05","yd","bs",2,"yd","rs","bc"
"48",17,"learn05","yd","bs",3,"yd","rc","bs"
"49",17,"learn05","yd","bs",4,"yc","bs","yc"
"50",17,"learn05","yd","bs",5,"yc","bc","ys"
"51",17,"learn05","yd","bs",6,"yc","rs","bc"
"52",17,"learn05","yd","bs",7,"yc","rc","bs"
"53",17,"learn05","yd","bs",8,"rd","bs","rc"
"54",17,"learn05","yd","bs",9,"rd","bc","rs"
"55",17,"learn05","yd","bs",10,"rd","rs","rc"
"56",17,"learn05","yd","bs",11,"rd","rc","rs"
"57",17,"learn05","yd","bs",12,"rc","bs","rc"
"58",17,"learn05","yd","bs",13,"rc","bc","rs"
"59",17,"learn05","yd","bs",14,"rc","rs","rc"
"60",17,"learn05","yd","bs",15,"rc","rc","rs"
"61",18,"learn05","yd","bs",1,"yd","bc","bs"
"62",18,"learn05","yd","bs",2,"yd","rs","bc"
"63",18,"learn05","yd","bs",3,"yd","rc","ys"
"64",18,"learn05","yd","bs",4,"yc","bs","bc"
"65",18,"learn05","yd","bs",5,"yc","bc","ys"
"66",18,"learn05","yd","bs",6,"yc","rs","yc"
"67",18,"learn05","yd","bs",7,"yc","rc","yc"
"68",18,"learn05","yd","bs",8,"rd","bs","rc"
"69",18,"learn05","yd","bs",9,"rd","bc","rs"
"70",18,"learn05","yd","bs",10,"rd","rs","rc"
"71",18,"learn05","yd","bs",11,"rd","rc","ys"
"72",18,"learn05","yd","bs",12,"rc","bs","rs"
