"id","participant","classtype","subject","trials"
"91","3885f4b6-70dd-4b32-a8b8-765a88c8f87e","DemoExperiment","{'guess': 'The color of the magic stone affects the change in color of the normal stone. ', 'age': '27', 'sex': 'male', 'engagement': '9', 'difficulty': '6', 'feedback': '', 'learningTaskId': 'learn04', 'token': 'RZ7C9QUD', 'date': '2020_01_07', 'time': '11_40_60', 'instructions_duration': 245027, 'task_duration': 244538}","{'trial': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15], 'agent': ['rc', 'rc', 'rc', 'yc', 'yc', 'yc', 'yc', 'rd', 'rd', 'rd', 'rd', 'yd', 'yd', 'yd', 'yd'], 'recipient': ['ys', 'bd', 'yd', 'bs', 'ys', 'bd', 'yd', 'bs', 'ys', 'bd', 'yd', 'bs', 'ys', 'bd', 'yd'], 'selection': ['bs', 'yd', 'bd', 'ys', 'bs', 'yd', 'rd', 'ys', 'bs', 'yd', 'bd', 'rs', 'rs', 'rd', 'rd'], 'ts': [1578335778970, 1578335793229, 1578335803335, 1578335810863, 1578335817521, 1578335823347, 1578335842621, 1578335851027, 1578335865893, 1578335874632, 1578335884499, 1578335893861, 1578335901256, 1578335922991, 1578335935385], 'clicks': [[{'stone': 'bs', 'timestamp': 1578335778970}], [{'stone': 'yd', 'timestamp': 1578335793038}, {'stone': 'yd', 'timestamp': 1578335793229}], [{'stone': 'bd', 'timestamp': 1578335803151}, {'stone': 'bd', 'timestamp': 1578335803335}], [{'stone': 'ys', 'timestamp': 1578335810665}, {'stone': 'ys', 'timestamp': 1578335810863}], [{'stone': 'bs', 'timestamp': 1578335817337}, {'stone': 'bs', 'timestamp': 1578335817521}], [{'stone': 'yd', 'timestamp': 1578335823132}, {'stone': 'yd', 'timestamp': 1578335823347}], [{'stone': 'rd', 'timestamp': 1578335842427}, {'stone': 'rd', 'timestamp': 1578335842621}], [{'stone': 'ys', 'timestamp': 1578335850852}, {'stone': 'ys', 'timestamp': 1578335851027}], [{'stone': 'bs', 'timestamp': 1578335865699}, {'stone': 'bs', 'timestamp': 1578335865893}], [{'stone': 'yd', 'timestamp': 1578335874439}, {'stone': 'yd', 'timestamp': 1578335874632}], [{'stone': 'bd', 'timestamp': 1578335884301}, {'stone': 'bd', 'timestamp': 1578335884499}], [{'stone': 'rs', 'timestamp': 1578335893661}, {'stone': 'rs', 'timestamp': 1578335893861}], [{'stone': 'rs', 'timestamp': 1578335901072}, {'stone': 'rs', 'timestamp': 1578335901256}], [{'stone': 'rd', 'timestamp': 1578335922795}, {'stone': 'rd', 'timestamp': 1578335922991}], [{'stone': 'rd', 'timestamp': 1578335935177}, {'stone': 'rd', 'timestamp': 1578335935385}]]}"
"68","98746171-268a-41c8-9cac-2ae728ad5827","DemoExperiment","{'guess': 'It got changed to the same shape and color, only it became non-magic', 'age': '50', 'sex': 'male', 'engagement': '8', 'difficulty': '1', 'feedback': '', 'learningTaskId': 'learn06', 'token': 'OFOG6MV5', 'date': '2020_01_06', 'time': '05_26_01', 'instructions_duration': 213143, 'task_duration': 356969}","{'trial': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15], 'agent': ['bs', 'bs', 'bs', 'bd', 'bd', 'bd', 'bd', 'rs', 'rs', 'rs', 'rs', 'rd', 'rd', 'rd', 'rd'], 'recipient': ['yd', 'rc', 'rd', 'yc', 'yd', 'rc', 'rd', 'yc', 'yd', 'rc', 'rd', 'yc', 'yd', 'rc', 'rd'], 'selection': ['bd', 'rs', 'bd', 'bd', 'bd', 'bd', 'bd', 'rs', 'rs', 'rs', 'rs', 'rd', 'rd', 'rd', 'rd'], 'ts': [1578226775350, 1578226791398, 1578226811991, 1578226836734, 1578226851854, 1578226865974, 1578226875486, 1578226899566, 1578226923630, 1578226935934, 1578226952006, 1578226962126, 1578226971374, 1578226979774, 1578226987095], 'clicks': [[{'stone': 'bd', 'timestamp': 1578226775350}], [{'stone': 'rs', 'timestamp': 1578226791398}], [{'stone': 'bd', 'timestamp': 1578226811991}], [{'stone': 'bd', 'timestamp': 1578226836734}], [{'stone': 'bd', 'timestamp': 1578226851854}], [{'stone': 'bd', 'timestamp': 1578226865974}], [{'stone': 'bd', 'timestamp': 1578226875486}], [{'stone': 'rs', 'timestamp': 1578226899566}], [{'stone': 'rs', 'timestamp': 1578226915966}, {'stone': 'rd', 'timestamp': 1578226918406}, {'stone': 'rs', 'timestamp': 1578226923630}], [{'stone': 'rs', 'timestamp': 1578226935934}], [{'stone': 'rs', 'timestamp': 1578226952006}], [{'stone': 'rd', 'timestamp': 1578226962126}], [{'stone': 'rd', 'timestamp': 1578226971374}], [{'stone': 'rd', 'timestamp': 1578226979774}], [{'stone': 'rd', 'timestamp': 1578226987094}]]}"
"69","6227a664-fa7b-4667-943d-7103cad0bf63","DemoExperiment","{'guess': 'It seemed that the magic stone could only change the stone it touched to the same color as the magic stone', 'age': '32', 'sex': 'male', 'engagement': '8', 'difficulty': '0', 'feedback': 'Not at this time', 'learningTaskId': 'learn03', 'token': 'G9BU51XC', 'date': '2020_01_06', 'time': '07_27_32', 'instructions_duration': 199397, 'task_duration': 297096}","{'trial': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15], 'agent': ['bs', 'bs', 'bs', 'ys', 'ys', 'ys', 'ys', 'bc', 'bc', 'bc', 'bc', 'yc', 'yc', 'yc', 'yc'], 'recipient': ['yd', 'rc', 'yc', 'rd', 'yd', 'rc', 'yc', 'rd', 'yd', 'rc', 'yc', 'rd', 'yd', 'rc', 'yc'], 'selection': ['bd', 'bc', 'bc', 'yd', 'yd', 'yc', 'yc', 'bd', 'bd', 'bc', 'bc', 'yd', 'yd', 'yc', 'yc'], 'ts': [1578226931703, 1578226945335, 1578226954027, 1578226977367, 1578226990781, 1578227001625, 1578227013180, 1578227025846, 1578227034064, 1578227041522, 1578227048214, 1578227059723, 1578227067561, 1578227074695, 1578227082209], 'clicks': [[{'stone': 'bd', 'timestamp': 1578226931703}], [{'stone': 'bc', 'timestamp': 1578226945335}], [{'stone': 'bc', 'timestamp': 1578226954027}], [{'stone': 'yd', 'timestamp': 1578226977367}], [{'stone': 'yd', 'timestamp': 1578226990781}], [{'stone': 'bc', 'timestamp': 1578226998789}, {'stone': 'yc', 'timestamp': 1578227001625}], [{'stone': 'yc', 'timestamp': 1578227013180}], [{'stone': 'bd', 'timestamp': 1578227025846}], [{'stone': 'bd', 'timestamp': 1578227034064}], [{'stone': 'bc', 'timestamp': 1578227041522}], [{'stone': 'bc', 'timestamp': 1578227048214}], [{'stone': 'yc', 'timestamp': 1578227058023}, {'stone': 'yd', 'timestamp': 1578227059723}], [{'stone': 'yd', 'timestamp': 1578227067561}], [{'stone': 'yc', 'timestamp': 1578227074695}], [{'stone': 'yc', 'timestamp': 1578227082209}]]}"
"70","1ccc85cb-ae21-4216-888d-d907cb77e671","DemoExperiment","{'guess': 'turn the stone to the color of the original to the color to the right in the display.', 'age': '58', 'sex': 'female', 'engagement': '5', 'difficulty': '2', 'feedback': '', 'learningTaskId': 'learn04', 'token': 'T2J0JYUT', 'date': '2020_01_06', 'time': '06_38_07', 'instructions_duration': 148752, 'task_duration': 190384}","{'trial': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15], 'agent': ['rc', 'rc', 'rc', 'yc', 'yc', 'yc', 'yc', 'rd', 'rd', 'rd', 'rd', 'yd', 'yd', 'yd', 'yd'], 'recipient': ['ys', 'bd', 'yd', 'bs', 'ys', 'bd', 'yd', 'bs', 'ys', 'bd', 'yd', 'bs', 'ys', 'bd', 'yd'], 'selection': ['bs', 'rd', 'bd', 'rs', 'bs', 'rd', 'bd', 'rs', 'bs', 'rd', 'bd', 'rs', 'bs', 'rd', 'bd'], 'ts': [1578227659969, 1578227672828, 1578227683079, 1578227689735, 1578227697053, 1578227704249, 1578227711533, 1578227718942, 1578227736473, 1578227746841, 1578227755502, 1578227762352, 1578227770135, 1578227777552, 1578227783997], 'clicks': [[{'stone': 'bs', 'timestamp': 1578227659969}], [{'stone': 'rd', 'timestamp': 1578227672828}], [{'stone': 'bd', 'timestamp': 1578227683079}], [{'stone': 'rs', 'timestamp': 1578227689735}], [{'stone': 'bs', 'timestamp': 1578227697053}], [{'stone': 'rd', 'timestamp': 1578227704249}], [{'stone': 'bd', 'timestamp': 1578227711533}], [{'stone': 'rs', 'timestamp': 1578227718941}], [{'stone': 'bs', 'timestamp': 1578227736473}], [{'stone': 'rd', 'timestamp': 1578227746841}], [{'stone': 'bd', 'timestamp': 1578227755502}], [{'stone': 'rs', 'timestamp': 1578227762352}], [{'stone': 'bs', 'timestamp': 1578227770135}], [{'stone': 'rd', 'timestamp': 1578227777552}], [{'stone': 'bd', 'timestamp': 1578227783997}]]}"
"71","ae31f689-0ed7-4186-bced-976df87a2ddc","DemoExperiment","{'guess': 'The magic stone turns the normal stone into the same shape as the magic one', 'age': '39', 'sex': 'male', 'engagement': '10', 'difficulty': '3', 'feedback': '', 'learningTaskId': 'learn01', 'token': 'DYR9VQPO', 'date': '2020_01_06', 'time': '05_39_29', 'instructions_duration': 101879, 'task_duration': 185507}","{'trial': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15], 'agent': ['rs', 'rs', 'rs', 'rd', 'rd', 'rd', 'rd', 'bs', 'bs', 'bs', 'bs', 'bd', 'bd', 'bd', 'bd'], 'recipient': ['yd', 'bc', 'bd', 'yc', 'yd', 'bc', 'bd', 'yc', 'yd', 'bc', 'bd', 'yc', 'yd', 'bc', 'bd'], 'selection': ['ys', 'bs', 'bs', 'ys', 'yd', 'bd', 'bd', 'ys', 'ys', 'bs', 'bs', 'yd', 'yd', 'bd', 'bd'], 'ts': [1578227744250, 1578227756020, 1578227763321, 1578227770382, 1578227785515, 1578227798250, 1578227805369, 1578227822433, 1578227831003, 1578227837805, 1578227844284, 1578227855360, 1578227865478, 1578227872505, 1578227878935], 'clicks': [[{'stone': 'ys', 'timestamp': 1578227744250}], [{'stone': 'bs', 'timestamp': 1578227756020}], [{'stone': 'bs', 'timestamp': 1578227763321}], [{'stone': 'ys', 'timestamp': 1578227770382}], [{'stone': 'yd', 'timestamp': 1578227785515}], [{'stone': 'bc', 'timestamp': 1578227793286}, {'stone': 'bd', 'timestamp': 1578227798250}], [{'stone': 'bd', 'timestamp': 1578227805369}], [{'stone': 'bs', 'timestamp': 1578227820581}, {'stone': 'ys', 'timestamp': 1578227822433}], [{'stone': 'ys', 'timestamp': 1578227831003}], [{'stone': 'bs', 'timestamp': 1578227837805}], [{'stone': 'bs', 'timestamp': 1578227844284}], [{'stone': 'bd', 'timestamp': 1578227852396}, {'stone': 'rd', 'timestamp': 1578227854932}, {'stone': 'yd', 'timestamp': 1578227855360}], [{'stone': 'yd', 'timestamp': 1578227865478}], [{'stone': 'bd', 'timestamp': 1578227872505}], [{'stone': 'bd', 'timestamp': 1578227878935}]]}"
"72","2163d783-3343-4b06-82dc-a5b42d111445","DemoExperiment","{'guess': 'change the color', 'age': '48', 'sex': 'male', 'engagement': '10', 'difficulty': '0', 'feedback': '', 'learningTaskId': 'learn04', 'token': 'TREV6PCL', 'date': '2020_01_06', 'time': '05_44_02', 'instructions_duration': 129474, 'task_duration': 248145}","{'trial': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15], 'agent': ['rc', 'rc', 'rc', 'yc', 'yc', 'yc', 'yc', 'rd', 'rd', 'rd', 'rd', 'yd', 'yd', 'yd', 'yd'], 'recipient': ['ys', 'bd', 'yd', 'bs', 'ys', 'bd', 'yd', 'bs', 'ys', 'bd', 'yd', 'bs', 'ys', 'bd', 'yd'], 'selection': ['rs', 'ys', 'rd', 'rs', 'rs', 'rs', 'bs', 'rs', 'bs', 'rs', 'rs', 'ys', 'bs', 'rs', 'rs'], 'ts': [1578228022984, 1578228031815, 1578228042671, 1578228057841, 1578228076373, 1578228085532, 1578228090940, 1578228097180, 1578228103741, 1578228108973, 1578228114013, 1578228119582, 1578228139911, 1578228145419, 1578228151607], 'clicks': [[{'stone': 'rs', 'timestamp': 1578228022984}], [{'stone': 'ys', 'timestamp': 1578228031815}], [{'stone': 'rs', 'timestamp': 1578228040679}, {'stone': 'rd', 'timestamp': 1578228042671}], [{'stone': 'rs', 'timestamp': 1578228057841}], [{'stone': 'rs', 'timestamp': 1578228076373}], [{'stone': 'rs', 'timestamp': 1578228085532}], [{'stone': 'bs', 'timestamp': 1578228090940}], [{'stone': 'rs', 'timestamp': 1578228097180}], [{'stone': 'ys', 'timestamp': 1578228102941}, {'stone': 'bs', 'timestamp': 1578228103741}], [{'stone': 'rs', 'timestamp': 1578228108973}], [{'stone': 'rs', 'timestamp': 1578228114013}], [{'stone': 'rs', 'timestamp': 1578228118934}, {'stone': 'ys', 'timestamp': 1578228119582}], [{'stone': 'bs', 'timestamp': 1578228139911}], [{'stone': 'rs', 'timestamp': 1578228145419}], [{'stone': 'rs', 'timestamp': 1578228151607}]]}"
"73","bd78fe3b-b9c6-4622-8a1c-fde257eae7f7","DemoExperiment","{'guess': 'go to the next shape below the magic stone shape in the same color line as the magic stone', 'age': '42', 'sex': 'male', 'engagement': '6', 'difficulty': '8', 'feedback': '', 'learningTaskId': 'learn05', 'token': '320B08UB', 'date': '2020_01_06', 'time': '07_45_49', 'instructions_duration': 158979, 'task_duration': 308417}","{'trial': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15], 'agent': ['yd', 'yd', 'yd', 'rd', 'rd', 'rd', 'rd', 'yc', 'yc', 'yc', 'yc', 'rc', 'rc', 'rc', 'rc'], 'recipient': ['rs', 'bc', 'rc', 'bs', 'rs', 'bc', 'rc', 'bs', 'rs', 'bc', 'rc', 'bs', 'rs', 'bc', 'rc'], 'selection': ['yc', 'yc', 'yc', 'rc', 'rc', 'rc', 'rc', 'yc', 'ys', 'ys', 'ys', 'rs', 'rs', 'rs', 'rs'], 'ts': [1578228008531, 1578228021598, 1578228036962, 1578228048194, 1578228059675, 1578228070522, 1578228082906, 1578228108683, 1578228148583, 1578228167303, 1578228180063, 1578228189391, 1578228199075, 1578228206203, 1578228222187], 'clicks': [[{'stone': 'yc', 'timestamp': 1578228008531}], [{'stone': 'yc', 'timestamp': 1578228021559}, {'stone': 'yc', 'timestamp': 1578228021598}], [{'stone': 'yc', 'timestamp': 1578228036962}], [{'stone': 'rc', 'timestamp': 1578228048194}], [{'stone': 'rc', 'timestamp': 1578228059674}], [{'stone': 'rc', 'timestamp': 1578228070522}], [{'stone': 'rc', 'timestamp': 1578228082906}], [{'stone': 'yc', 'timestamp': 1578228108683}], [{'stone': 'ys', 'timestamp': 1578228148583}], [{'stone': 'ys', 'timestamp': 1578228167303}], [{'stone': 'ys', 'timestamp': 1578228180063}], [{'stone': 'rs', 'timestamp': 1578228189391}], [{'stone': 'rs', 'timestamp': 1578228199075}], [{'stone': 'rs', 'timestamp': 1578228206203}], [{'stone': 'rs', 'timestamp': 1578228222187}]]}"
"74","896ce7d4-7376-46ca-b711-5258aa109456","DemoExperiment","{'guess': 'according to the shapes, the color changes.', 'age': '38', 'sex': 'male', 'engagement': '10', 'difficulty': '0', 'feedback': '', 'learningTaskId': 'learn03', 'token': '8TMWU4XM', 'date': '2020_01_06', 'time': '08_46_52', 'instructions_duration': 12090, 'task_duration': 139014}","{'trial': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15], 'agent': ['bs', 'bs', 'bs', 'bc', 'bc', 'bc', 'bc', 'ys', 'ys', 'ys', 'ys', 'yc', 'yc', 'yc', 'yc'], 'recipient': ['rc', 'yd', 'yc', 'rd', 'rc', 'yd', 'yc', 'rd', 'rc', 'yd', 'yc', 'rd', 'rc', 'yd', 'yc'], 'selection': ['yd', 'rd', 'rc', 'yd', 'bc', 'bc', 'bc', 'bd', 'bc', 'bd', 'rc', 'yd', 'yc', 'bd', 'bc'], 'ts': [1578228219313, 1578228226288, 1578228231889, 1578228237729, 1578228246000, 1578228251697, 1578228258712, 1578228264792, 1578228271920, 1578228278184, 1578228287512, 1578228294408, 1578228303768, 1578228311216, 1578228318911], 'clicks': [[{'stone': 'yd', 'timestamp': 1578228219313}], [{'stone': 'rd', 'timestamp': 1578228226288}], [{'stone': 'rc', 'timestamp': 1578228231889}], [{'stone': 'yd', 'timestamp': 1578228237729}], [{'stone': 'bd', 'timestamp': 1578228242880}, {'stone': 'bc', 'timestamp': 1578228246000}], [{'stone': 'bc', 'timestamp': 1578228251697}], [{'stone': 'bd', 'timestamp': 1578228257065}, {'stone': 'bc', 'timestamp': 1578228258712}], [{'stone': 'bd', 'timestamp': 1578228264792}], [{'stone': 'bc', 'timestamp': 1578228271920}], [{'stone': 'bd', 'timestamp': 1578228278184}], [{'stone': 'bc', 'timestamp': 1578228286704}, {'stone': 'rc', 'timestamp': 1578228287512}], [{'stone': 'yd', 'timestamp': 1578228294408}], [{'stone': 'rc', 'timestamp': 1578228302024}, {'stone': 'yc', 'timestamp': 1578228303768}], [{'stone': 'bd', 'timestamp': 1578228311216}], [{'stone': 'bc', 'timestamp': 1578228318911}]]}"
"75","e9a3573a-bfcb-4898-8ead-ad51bd3e235c","DemoExperiment","{'guess': 'I think that the magic stone always turned the other stone into the color yellow.', 'age': '35', 'sex': 'female', 'engagement': '7', 'difficulty': '2', 'feedback': 'No comment', 'learningTaskId': 'learn04', 'token': 'VSO201ES', 'date': '2020_01_06', 'time': '07_47_11', 'instructions_duration': 85226, 'task_duration': 220116}","{'trial': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15], 'agent': ['rc', 'rc', 'rc', 'yc', 'yc', 'yc', 'yc', 'rd', 'rd', 'rd', 'rd', 'yd', 'yd', 'yd', 'yd'], 'recipient': ['ys', 'bd', 'yd', 'bs', 'ys', 'bd', 'yd', 'bs', 'ys', 'bd', 'yd', 'bs', 'ys', 'bd', 'yd'], 'selection': ['ys', 'yd', 'yd', 'ys', 'ys', 'yd', 'yd', 'ys', 'ys', 'yd', 'yd', 'ys', 'ys', 'yd', 'yd'], 'ts': [1578228191069, 1578228203921, 1578228217005, 1578228229939, 1578228242317, 1578228251859, 1578228258966, 1578228266547, 1578228274405, 1578228283099, 1578228289953, 1578228295845, 1578228303329, 1578228310361, 1578228317764], 'clicks': [[{'stone': 'ys', 'timestamp': 1578228191069}], [{'stone': 'yd', 'timestamp': 1578228203921}], [{'stone': 'yd', 'timestamp': 1578228217005}], [{'stone': 'ys', 'timestamp': 1578228229939}], [{'stone': 'ys', 'timestamp': 1578228242317}], [{'stone': 'yd', 'timestamp': 1578228251859}], [{'stone': 'yd', 'timestamp': 1578228258966}], [{'stone': 'ys', 'timestamp': 1578228266547}], [{'stone': 'ys', 'timestamp': 1578228274405}], [{'stone': 'yd', 'timestamp': 1578228283099}], [{'stone': 'yd', 'timestamp': 1578228289953}], [{'stone': 'ys', 'timestamp': 1578228295845}], [{'stone': 'ys', 'timestamp': 1578228303329}], [{'stone': 'yd', 'timestamp': 1578228310361}], [{'stone': 'yd', 'timestamp': 1578228317764}]]}"
"76","9cbb92de-58b4-412f-8dbb-185cbf9482e5","DemoExperiment","{'guess': 'The magic stone changed the normal stone to the same color.', 'age': '67', 'sex': 'female', 'engagement': '10', 'difficulty': '10', 'feedback': 'I had a hard time trying to figure out which one to choose. I guess that was the point of the survey is to see if I could figure how in what way the stone would be changed.', 'learningTaskId': 'learn03', 'token': 'D348M470', 'date': '2020_01_06', 'time': '08_54_43', 'instructions_duration': 1207744, 'task_duration': 605854}","{'trial': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15], 'agent': ['bs', 'bs', 'bs', 'bc', 'bc', 'bc', 'bc', 'ys', 'ys', 'ys', 'ys', 'yc', 'yc', 'yc', 'yc'], 'recipient': ['rc', 'yd', 'yc', 'rd', 'rc', 'yd', 'yc', 'rd', 'rc', 'yd', 'yc', 'rd', 'rc', 'yd', 'yc'], 'selection': ['rd', 'bd', 'bd', 'bd', 'rc', 'rd', 'bd', 'bd', 'bd', 'bd', 'yc', 'bd', 'yc', 'yd', 'yc'], 'ts': [1578228279290, 1578228298459, 1578228314652, 1578228323991, 1578228353209, 1578228453830, 1578228472461, 1578228488698, 1578228511782, 1578228587897, 1578228600292, 1578228624403, 1578228644017, 1578228655079, 1578228672218], 'clicks': [[{'stone': 'rd', 'timestamp': 1578228279290}], [{'stone': 'bd', 'timestamp': 1578228298459}], [{'stone': 'bd', 'timestamp': 1578228314652}], [{'stone': 'bd', 'timestamp': 1578228323991}], [{'stone': 'rc', 'timestamp': 1578228353209}], [{'stone': 'rd', 'timestamp': 1578228453830}], [{'stone': 'bd', 'timestamp': 1578228472461}], [{'stone': 'bd', 'timestamp': 1578228488697}], [{'stone': 'bd', 'timestamp': 1578228511782}], [{'stone': 'bd', 'timestamp': 1578228587897}], [{'stone': 'yc', 'timestamp': 1578228600292}], [{'stone': 'bd', 'timestamp': 1578228624403}], [{'stone': 'yc', 'timestamp': 1578228644017}], [{'stone': 'yd', 'timestamp': 1578228655079}], [{'stone': 'yc', 'timestamp': 1578228672218}]]}"
