"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19"
"1" 2995.73177791555 2995.34176841917 3182.30432657973 3053.89877692769 3008.77131569832 3325.36403014153 3139.8785946494 3155.68202067652 3185.1366494935 3370.88242424663 3392.2508088619 3357.43624206927 3338.1148081797 3364.07665100363 3525.34375487055 3287.71540404668 3313.30886531787 3287.06846217659 3307.76265531104
"2" 3125.71250308069 3005.91760513384 3131.80117162736 3099.1620448772 3128.25714306752 3202.56098500579 3100.72209509693 3089.48875474648 3252.05066980758 3203.31385797007 3136.78205431401 3168.82922196453 3146.1408490689 3082.40134067645 3188.05673084953 3254.82446492044 3258.05277426235 3329.81826020613 3377.27156998971
"3" 3003.74176690161 2975.61046570366 2963.06376923545 3105.70200359417 3079.55317633825 2953.8846983565 3120.39077941653 2969.04106342237 3087.74204471856 3071.30792628653 3083.59481801288 3096.49334513304 3115.55695830413 3266.17022494928 3189.34885690718 3097.9959691322 3049.64921093558 3067.99835141154 3106.61075496539
"4" 3036.27455443244 3044.82597672842 2995.12965075899 2962.89390522758 3113.26037359299 3064.46996012732 3001.26433808122 3217.32850154416 3011.15401346249 3131.88920573985 3070.35830414647 3092.44479707553 3036.84449038646 3118.37859687234 3079.65585102527 3135.96317448984 3257.58556294173 3171.1583584139 3166.42168958734
"5" 2911.48320189853 2907.2571654432 2974.62827594982 2919.59007234281 3058.08888412314 3082.78227109611 3045.83846040801 2955.40372699985 2987.28232944554 3099.51232288299 3165.57860205189 3138.09068520156 2988.78227633387 3037.52547326199 3159.19614156788 3184.09378570483 3105.60306102738 3174.99547939506 3196.42239862333
"6" 3029.60855839449 2979.22291730948 2872.28427260191 2802.65285704022 2910.23207372028 3042.64876105825 3061.84266975495 2977.8635819666 3174.76904797607 3046.75639449851 3122.55194494375 3135.08546972766 3173.59271991089 3201.69062086017 3067.63732290838 2967.4361974539 3165.97570823008 3000.22988412304 3153.86638811927
"7" 3041.72842921058 3118.67328406882 3088.35304043144 2983.05506468987 2951.11563572119 3074.86427189392 2940.33575274224 3045.64090851148 3074.85928867649 3114.69280496015 2928.43746483821 3185.993149519 3098.740477597 3073.22458146788 3064.90978160497 3092.9305193905 3087.96775919185 3147.73729452117 3101.30297474064
"8" 3039.79889191558 2990.19347665409 2966.01274500322 3016.81254531139 2821.35361032588 2989.24360998058 3060.75708190234 3112.39740004245 3060.18465245852 3025.78612422883 2978.16605048301 3032.22891103309 2938.7750570126 3198.80222252298 3174.85136514274 3100.20872423157 3115.93461835466 3118.09429244523 2977.27708590107
"9" 3071.26105171464 2856.6643151483 2923.35282296981 3001.25167364918 2848.77129014872 3045.79312103824 3024.3133938328 3035.62224525229 3010.32417984112 3127.22221255719 2895.56638924717 3024.97535270549 3093.12356948974 3114.04321710568 3202.64638017834 3188.48422104788 2993.8797287257 2970.40433659827 3129.9780782993
"10" 3109.72952067375 2941.8944723824 3063.56005818768 3000.80827540171 2892.42875591246 2983.08920102403 3050.02013417982 2964.12632080421 2949.1221504871 2993.54305404221 2936.14438186665 2884.50693984049 3068.40512790346 3006.96834015141 3090.28031757597 3198.74636615848 3096.04676826387 2987.87001772787 3003.74369145646
